['A', 'B', 'C', 'Cg', 'Ch', 'D', 'E', 'K', 'L', 'M', 'O', 'P', 'Q', 'R', 'S', 'V', 'X', 'Z']
{'A': 0, 'B': 1, 'C': 2, 'Cg': 3, 'Ch': 4, 'D': 5, 'E': 6, 'K': 7, 'L': 8, 'M': 9, 'O': 10, 'P': 11, 'Q': 12, 'R': 13, 'S': 14, 'V': 15, 'X': 16, 'Z': 17}
{0: 'A', 1: 'B', 2: 'C', 3: 'Cg', 4: 'Ch', 5: 'D', 6: 'E', 7: 'K', 8: 'L', 9: 'M', 10: 'O', 11: 'P', 12: 'Q', 13: 'R', 14: 'S', 15: 'V', 16: 'X', 17: 'Z'}
number of asteroid types: 18
Epoch [1/10], Train Loss: 0.5315, Val Loss: 0.3197
Epoch [2/10], Train Loss: 0.5165, Val Loss: 0.1818
Epoch [3/10], Train Loss: 0.4031, Val Loss: 0.1220
Epoch [4/10], Train Loss: 0.3127, Val Loss: 0.1057
Epoch [5/10], Train Loss: 0.0021, Val Loss: 0.1057
Epoch [6/10], Train Loss: 0.0003, Val Loss: 0.0983
Epoch [7/10], Train Loss: 0.1461, Val Loss: 0.1067
Epoch [8/10], Train Loss: 0.0414, Val Loss: 0.0853
Epoch [9/10], Train Loss: 0.0003, Val Loss: 0.1250
Epoch [10/10], Train Loss: 0.0070, Val Loss: 0.0849
