    295 Theresia          -          Sw  2002-09-28 a  
    308 Polyxo            -          T   2005-04-18 a  
    322 Phaeo             -          D   2002-09-29 a  
    337 Devosa            -          Xk  2002-09-28 a  
    345 Tercidina         -          Ch  2005-10-08 a  
    346 Hermentaria       -          S   2002-05-31 a  
    349 Dembowska         -          R   2001-06-22 a  
    352 Gisela            -          Sw  2001-06-22 a  
    354 Eleonora          -          A   2002-04-15 a  
    359 Georgia           -          Xk  2001-01-30 a  
    371 Bohemia           -          S   2001-08-14 a  
    378 Holmia            -          S   2002-04-14 a  
    387 Aquitania         -          L   2003-04-27 a  
    389 Industria         -          S   2001-08-24 a  
    402 Chloe             -          L   2001-02-19 a  
    403 Cyane             -          S   2003-04-27 a  
    433 Eros              -          Sw  2002-08-17 a  
    434 Hungaria          -          Xe  2001-08-23 a  
    444 Gyptis            -          C   2001-08-15 a  
    446 Aeternitas        -          A   2001-08-14 a
    453 Tea               -          Sw  2001-08-15 a  
    456 Abnoba            -          S   2002-06-17 a  
    460 Scania            -          L   2002-06-17 a  
    485 Genua             -          S   2002-03-06 a  
    512 Taurinensis       -          Sqw 2004-10-16 a  
    513 Centesima         -          K   2001-03-29 a  
    532 Herculina         -          S   2001-06-21 a  
    570 Kythera           -          D   2004-02-20 a  
    579 Sidonia           -          K   2001-02-20 a  
    596 Scheila           -          T   2002-06-01 a  
    599 Luisa             -          L   2001-02-19 a  
    606 Brangane          -          L   2002-09-29 a  
    625 Xenia             -          Sw  2001-02-20 a  
    631 Philippina        -          S   2002-09-29 a  
    653 Berenike          -          K   2003-03-17 a  
    661 Cloelia           -          K   2003-03-16 a  
    670 Ottegebe          -          S   2002-09-29 a  
    673 Edda              -          L   2001-06-21 a  
    675 Ludmilla          -          Sw  2002-04-15 a  
    679 Pax               -          L   2001-02-19 a  
    688 Melanie           -          C   2002-09-28 a  
    699 Hela              -          S   2005-01-08 a  
    706 Hirundo           -          Cgh 2006-01-30 a  
    716 Berkeley          -          S   2001-08-24 a  
    719 Albert            -          S   2001-08-23 d  
    720 Bohlinia          -          Sq  2000-10-09 a  
    729 Watsonia          -          L   2001-08-14 a  
    739 Mandeville        -          Xc  2002-09-28 a  
    742 Edisona           -          K   2003-03-16 a  
    773 Irmintraud        -          T   2004-09-22 a  
    776 Berbericia        -          Cgh 2005-04-12 a  
    782 Montefiore        -          Sw  2001-06-22 a  
    785 Zwetana           -          Cb  2005-05-19 a  
    789 Lena              -          Xk  2002-08-17 a  
    793 Arizona           -          S   2002-09-28 a  
    808 Merxia            -          Sr  2001-08-14 a  
    824 Anastasia         -          L   2001-08-14 a  
    832 Karin             -          S   2003-07-05 e  
    847 Agnia             -          S   2001-02-19 a  
    863 Benkoela          -          A   2002-01-14 a  
    908 Buda              -          D   2006-07-20 a  
    913 Otila             -          Sw  2001-08-15 a  
    925 Alphonsina        -          S   2002-09-28 a  
    929 Algunde           -          S   2001-06-21 a  
    944 Hidalgo           -          D   2004-09-22 e  
    984 Gretia            -          Sa  2002-09-29 a  
    985 Rosina            -          S   2005-05-11 a  
   1011 Laodamia          -          Sw  2002-01-12 a  
   1020 Arcadia           -          Sr  2003-03-17 a  
   1036 Ganymed           -          S   2005-03-09 a  
   1065 Amundsenia        -          S   2005-03-08 a  
   1094 Siberia           -          Xk  2003-03-16 a  
   1126 Otero             -          Sw  2001-02-20 a  
   1131 Porzia            -          S   2005-05-11 a  
   1139 Atami             -          Sw  2005-09-05 a  
   1143 Odysseus          -          D   2005-06-10 b  
   1147 Stavropolis       -          Sw  2001-08-15 a  
   1148 Rarahu            -          K   2001-03-29 a  
   1198 Atlantis          -          Sw  2002-10-28 b  
   1204 Renzia            -          Sw  2005-03-10 a  
   1228 Scabiosa          -          Sr  2003-03-16 a  
   1300 Marcelle          -          Cgh 2006-10-25 a  
   1329 Eliane            -          Sqw 2002-08-17 a  
   1332 Marconia          -          L   2005-06-10 a  
   1350 Rosselia          -          S   2001-06-21 a  
   1374 Isora             -          Sq  2004-02-20 a  
   1433 Geramtina         -          S   2002-08-17 a  
   1459 Magnya            -          Vw  2001-02-20 b  
   1471 Tornio            -          D   2005-10-08 a  
   1494 Savo              -          Sqw 2006-10-25 a  
   1508 Kemi              -          B   2004-02-19 a  
   1542 Schalen           -          D   2005-04-18 a  
   1565 Lemaitre          -          S   2005-03-03 a  
   1620 Geographos        -          S   2001-01-29 a  
   1640 Nemo              -          S   2005-03-08 a  
   1642 Hill              -          S   2001-08-15 a  
   1658 Innes             -          Sw  2001-01-30 c  
   1659 Punkaharju        -          S   2002-03-15 a  
   1660 Wood              -          S   2005-03-08 a  
   1662 Hoffmann          -          Sr  2003-03-17 a  
   1667 Pels              -          Sw  2002-10-28 a  
   1685 Toro              -          Sq  2002-05-08 h  
   1751 Herget            -          S   2001-06-22 a  
   1807 Slovakia          -          Sqw 2004-09-15 a  
   1839 Ragazza           -          S   2001-03-29 a  
   1848 Delvaux           -          S   2001-08-15 a  
   1858 Lobachevskij      -          S   2002-04-14 a  
   1862 Apollo            -          Q   2005-11-13 a  
   1864 Daedalus          -          Sq  2001-03-29 a  
   1866 Sisyphus          -          Sw  2006-11-21 a  
   1903 Adzhimushkaj      -          K   2003-03-17 a  
   1904 Massevitch        -          V   2000-09-04 a  
   1916 Boreas            -          Sw  2001-08-14 d  
   1929 Kollaa            -          V   2001-02-19 a  
   1943 Anteros           -          Sw  2002-01-12 g,h
