246	0.243
2501	0.2395
289	0.1793
354	0.2248
446	0.2045
863	0.2539
1508	0.1019
2	0.154
3200	0.1121
6411	nan
1	0.034
10	0.0532
128	0.0553
147	0.0461
150	0.0374
24	0.0511
444	0.0417
52	0.0381
688	0.0325
76	0.0464
85	0.0425
90	0.0772
93	0.0489
191	0.0471
210	0.0646
785	0.1274
175	0.047
106	0.0404
1300	0.0457
214	0.4905
2378	0.0412
38	0.0722
51	0.0649
54	0.055
70	0.0566
776	0.0785
105	0.0506
111	0.0512
13	0.0744
130	0.0459
19	0.0397
205	0.0668
2099	0.0361
266	0.0496
34	0.0466
345	0.0402
41	0.0441
48	0.0532
49	0.0518
50	0.0328
58	0.0463
66	0.0514
78	0.0506
84	0.0525
1143	0.0559
1471	0.0537
1542	0.0515
17274	0.0307
199	0.1585
2246	0.0499
267	0.054
269	0.0828
279	0.0411
322	0.0994
3248	0.0477
3317	0.0514
908	0.1386
944	0.0603
114	0.0794
1148	0.1677
131	0.1614
15	0.1645
1903	0.1226
221	0.1893
2957	0.1134
3028	0.096
3199	0.1788
36284	nan
42	0.1399
579	0.1003
742	0.1505
1332	0.047
2085	0.1709
234	0.1819
2354	0.1804
236	0.1331
2448	0.0524
2732	0.2167
3734	0.1441
3844	0.1344
387	0.1809
460	0.1895
4737	0.1397
5840	0.1485
599	0.1143
673	0.1112
679	0.1197
729	0.0942
7763	0.1641
824	0.1443
86450	0.1798
3628	0.2372
162058	0.1557
1862	0.2719
3753	0.3438
4688	nan
5143	0.3632
5660	nan
66146	0.3626
7341	0.4619
349	0.3468
101	0.2008
103	0.2404
1036	0.2418
1065	0.3058
1131	0.2728
115	0.1598
119	0.2487
133	0.1364
1350	0.1897
14	0.1764
1433	0.1767
1565	0.2357
158	0.2292
1620	0.2533
162781	nan
1640	0.1896
1642	0.1862
1659	0.1943
1660	0.3102
17	0.2238
170	0.2549
1751	0.2147
18	0.2507
1839	0.3584
1848	0.1958
1858	0.1996
188	0.2648
20	0.1979
20790	nan
2157	0.1317
226	0.2412
22771	nan
2335	0.2042
2353	0.2128
2386	0.2653
2396	0.3519
2401	0.184
25	0.2073
2521	0.1477
258	0.2005
26	0.2432
264	0.3042
27	0.2845
278	0.2812
28	0.1209
2875	0.1716
288	0.1935
29	0.1705
2977	0.2317
30	0.2099
3255	0.1572
33	0.2416
3395	0.2442
3402	0.2489
3430	0.2139
346	0.2315
3491	0.3227
37	0.1404
3701	0.1894
371	0.2337
378	0.2483
3788	0.2054
389	0.1451
3903	0.2705
3910	0.1731
40	0.3318
403	0.167
4352	0.2886
456	0.2477
485	0.1716
4995	nan
5	0.2174
5230	0.2909
5407	0.1872
54690	nan
5685	0.1969
57	0.1947
6047	nan
61	0.1847
6386	0.1821
6585	0.1375
67	0.2493
670	0.2147
699	0.2868
7	0.2212
73	0.2059
793	0.1703
82	0.2542
832	0.2078
8334	0.1388
8444	0.2987
847	0.2754
925	0.2006
929	0.2504
985	nan
5261	0.1223
984	0.2311
11	0.1588
1374	nan
138258	0.6199
1685	0.2645
1864	0.2734
19356	0.3067
2063	0.2175
20786	nan
2873	0.2121
3	0.2332
35107	0.364
3949	nan
4179	0.157
4197	0.1862
43	0.3322
86819	0.2113
1329	0.1509
1494	0.3213
1807	0.1902
2064	0.2206
3102	0.1856
3122	0.209
3198	nan
39	0.2688
3920	0.2331
4407	0.1651
6239	0.2828
1020	0.2077
1228	0.167
137062	0.2447
1662	0.2355
180	0.2506
2042	0.1802
237	0.1959
2504	0.2841
3363	0.2357
4558	0.2563
5379	0.2855
5587	0.3238
5817	0.2299
89355	0.3269
99907	0.2875
19127	nan
3511	0.2417
3635	0.2282
3858	0.2286
53435	0.2607
6455	0.2203
2965	0.2096
4451	0.1686
1011	0.2594
108	0.2329
1126	0.1443
1139	0.2068
1147	0.2125
1198	0.1031
1204	0.2266
151	0.1924
1658	0.208
1667	0.2856
1866	0.5064
18736	nan
1916	0.241
192	0.2979
1943	0.1745
1980	0.2011
2074	0.2311
2107	0.2019
243	0.21
244	0.1912
24475	nan
2715	0.2002
2911	0.1937
295	0.1774
32	0.2041
352	0.2612
3873	0.2528
433	0.27
4417	0.1713
453	0.2317
4570	0.3616
4713	0.2102
5013	0.1211
5401	0.1987
5641	0.2429
63	0.2871
675	0.2091
782	0.2578
8	0.1912
913	0.2579
98943	nan
308	0.0518
596	0.0453
773	0.0317
96	0.0578
1904	0.333
1929	0.1842
2045	0.2483
2442	0.1844
2566	0.334
2579	0.331
2851	0.226
2912	0.2901
3155	nan
3908	0.1849
4	0.38
4055	0.3062
4188	0.2558
5111	0.4428
5604	0.2177
1459	0.1296
4038	nan
153	0.05
22	0.1428
87	0.0394
21	0.19
739	0.0399
97	0.1787
132	0.2193
2035	0.607
216	0.1795
3103	0.8578
434	0.6001
64	0.6242
77	0.1602
1094	0.1131
110	0.151
16	0.1164
160	0.0636
181	0.0792
201	0.1324
233	0.0637
250	0.1225
25330	0.049
337	0.1068
359	0.1172
55	0.2587
56	0.0466
65	0.0472
69	0.1855
789	0.101
92	0.1253
99	0.0664
