num mag diam albedo
37336 15.78 2.6 0.1274
3753 15.46 1.834 0.3438
3833 15.63 5.74 0.03
3858 14.05 4.305 0.2286
3908 17.45 1.0 0.1849
3920 13.18 6.364 0.2331
39572 16.56 1.55 0.1747
3988 17.94 0 0
399774 18.8 0 0
4015 16.19 4.065 0.0357
405058 14.38 0 0
4055 14.94 2.469 0.3062
413038 16.93 1.157 0.223
4142 13.17 6.127 0.2538
414586 16.13 0.996 0.6288
416186 19.41 0 0
4179 15.3 2.725 0.157
4183 14.17 3.425 0.3234
4197 15.03 3.038 0.1862
433 10.41 16.891 0.27
4451 12.25 11.484 0.1686
4486 15.61 1.826 0.302
4558 12.85 7.066 0.2563
4587 15.45 0 0
4660 18.75 0.33 0.5129
4688 19.6 0 0
4775 13.98 5.09 0.1744
4953 14.94 2.34 0.3409
4954 12.53 9.524 0.1894
4995 13.52 0 0
5011 16.7 0 0
512 0 0 0
5131 14.83 0 0
5143 14.06 3.4 0.3632
5230 13.36 5.244 0.2909
52340 18.1 0 0
5261 16.11 2.279 0.1223
52760 17.5 0.81 0.2692
52762 14.83 6.747 0.0454
52768 16.02 1.78 0.2179
53319 15.36 8.084 0.0194
53435 14.74 2.934 0.2607
5392 12.96 8.599 0.1564
5407 14.42 4.012 0.1872
54690 17.5 0 0
54789 15.08 1.567 0.6682
5587 13.89 3.894 0.3238
5604 17.38 0.952 0.2177
5626 14.34 3.613 0.2485
5645 17.23 1.667 0.0815
5646 15.51 2.489 0.1782
5660 15.44 0 0
5693 16.79 0 0
5786 17.18 0 0
5817 13.01 6.931 0.2299
5836 15.0 2.754 0.2329
6037 18.86 0.399 0.317
6239 18.61 0.474 0.2828
63164 15.92 0 0
6386 12.84 8.421 0.1821
6411 13.26 0 0
6455 14.1 4.286 0.2203
6456 16.06 0 0
65679 19.63 0.916 0.0296
65803 18.11 0.761 0.15
6585 14.63 4.25 0.1375
65996 18.49 0 0
66063 18.15 0.62 0.2525
6611 16.9 1.408 0.1548
66146 14.41 2.896 0.3626
66251 16.98 1.048 0.2596
68216 16.61 1.089 0.3381
68346 16.93 0.797 0.47
68350 16.14 1.794 0.192
68359 18.09 0.62 0.2668
68372 18.97 1.712 0.0156
68950 16.39 1.127 0.3865
6909 13.9 12.25 0.0324
699 11.45 12.727 0.2868
719 0 0 0
7304 14.04 7.74 0.0714
7336 18.83 0 0
7341 16.96 0.793 0.4619
7358 14.72 0 0
7482 16.65 1.052 0.3492
7753 18.02 1.64 0.0407
7822 17.34 1.444 0.0982
7888 15.19 2.587 0.2215
7889 15.31 1.741 0.438
8373 14.31 5.1 0.1282
8566 16.48 1.402 0.2299
8567 15.36 2.02 0.3107
85709 15.93 1.766 0.2405
85774 19.09 0.934 0.0468
85818 15.46 2.224 0.2338
85867 18.3 0 0
85989 17.07 1.623 0.0996
85990 20.27 0.442 0.0705
86039 15.97 1.476 0.3318
86212 15.11 3.017 0.1753
86450 18.45 0.64 0.1798
86819 17.47 0.927 0.2113
87684 16.0 0 0
88188 16.08 1.363 0.3516
88254 17.77 0.8 0.2152
887 13.85 4.809 0.2203
88710 17.63 0.75 0.2786
89355 15.8 1.608 0.3269
9400 14.84 3.619 0.1563
96189 16.48 3.604 0.0348
96590 16.28 1.136 0.421
98943 18.74 0 0
99799 18.54 0.497 0.2744
99907 17.93 0.643 0.2875
99942 19.0 0.34 0.3838
